10541, 10542, 1911
10541, 10544, 1911
10541, 10545, 1911
10541, 10546, 1911
10541, 10548, 1911
10541, 10549, 1911
10541, 10550, 1911
10541, 10552, 1910
10541, 10553, 1910
10541, 10555, 1910
10541, 10556, 1909
10541, 10557, 1909
10541, 10559, 1909
10541, 10560, 1908
10541, 10561, 1907
10541, 10563, 1907
10541, 10564, 1906
10541, 10566, 1906
10541, 10567, 1905
10541, 10568, 1904
10541, 10570, 1904
10541, 10571, 1903
10541, 10572, 1902
10541, 10574, 1901
10541, 10575, 1900
10541, 10577, 1899
10541, 10578, 1899
10541, 10579, 1897
10541, 10582, 1897
10541, 10583, 1894
10541, 10584, 1893
10541, 10586, 1893
10541, 10587, 1891
10541, 10589, 1890
10541, 10590, 1889
10541, 10591, 1887
10541, 10593, 1886
10541, 10594, 1884
10541, 10595, 1883
10541, 10597, 1882
10541, 10598, 1880
10541, 10600, 1879
10541, 10601, 1878
10541, 10602, 1876
10541, 10604, 1874
10541, 10605, 1872
10541, 10606, 1871
10541, 10608, 1870
10541, 10609, 1867
10541, 10611, 1866
10541, 10612, 1863
10541, 10613, 1862
10541, 10615, 1861
10541, 10616, 1858
10541, 10618, 1857
10541, 10619, 1854
10541, 10620, 1852
10541, 10622, 1851
10541, 10624, 1846
10541, 10626, 1845
10541, 10627, 1842
10541, 10628, 1840
10541, 10630, 1839
10541, 10631, 1836
10541, 10633, 1834
10541, 10634, 1831
10541, 10636, 1829
10541, 10637, 1827
10541, 10638, 1824
10541, 10640, 1822
10541, 10641, 1819
10541, 10643, 1817
10541, 10644, 1813
10541, 10645, 1811
10541, 10647, 1810
10541, 10648, 1806
10541, 10650, 1804
10541, 10651, 1800
10541, 10653, 1798
10541, 10654, 1794
10541, 10656, 1792
10541, 10657, 1790
10541, 10658, 1786
10541, 10660, 1784
10541, 10661, 1780
10541, 10663, 1778
10541, 10664, 1774
10541, 10667, 1772
10541, 10668, 1766
10541, 10670, 1763
10541, 10671, 1759
10541, 10672, 1757
10541, 10674, 1755
10541, 10675, 1750
10541, 10677, 1748
10541, 10678, 1743
10541, 10680, 1741
10541, 10681, 1737
10541, 10683, 1734
10541, 10684, 1732
10541, 10685, 1727
10541, 10687, 1725
10541, 10688, 1720
10541, 10690, 1718
10541, 10691, 1713
10541, 10693, 1710
10541, 10694, 1705
10541, 10696, 1703
10541, 10697, 1698
10541, 10698, 1695
10541, 10700, 1693
10541, 10701, 1688
10541, 10703, 1685
10541, 10704, 1680
10541, 10706, 1677
10541, 10707, 1672
10541, 10710, 1669
10541, 10711, 1661
10541, 10712, 1659
10541, 10714, 1656
10541, 10715, 1651
10541, 10717, 1648
10541, 10718, 1642
10541, 10720, 1640
10541, 10721, 1634
10541, 10723, 1631
10541, 10724, 1628
10541, 10725, 1623
10541, 10727, 1620
10541, 10728, 1614
10541, 10730, 1611
10541, 10731, 1606
10541, 10733, 1603
10541, 10734, 1597
10541, 10736, 1594
10541, 10737, 1591
10541, 10738, 1585
10541, 10740, 1582
